tool	family	class_label	rescued_class	dominant_path	dominant_frac	n_copies	n_full_len	frac_full_len	cons_len	cons_completeness	cov_ge3	div_median	frac_agree_class	frac_conflictfree	frac_tandemtool	frac_support_ge2	n_gates_passed	rank_score
rm2	rnd-1_family-117	Unknown		repeat:TE:ClassII	0.47031620495147203	1952	670.0	0.3432377049180328	251.0	ok	1.0	8.300000190734863	0.8083161912949147	0.9560993248936511	0.04134557326046688	0.9704099420411477	6	5.590490318889392
rm2	rnd-2_family-167	Unknown	repeat:TE:ClassII	repeat:TE:ClassII	0.9907543378066181	3990	1819.0	0.45588972431077696	476.0	ok	1.0	6.800000190734863	0.6706345430560767	0.6589889603316391	0.00848736828403682	0.9993248165320232	6	5.589456202451199
pantera	Unknown_426-fGobNig	Unknown	repeat:TE:ClassI:LTR	repeat:TE:ClassI:LTR	0.9697580057845565	660	410.0	0.6212121212121212	468.0	ok	1.0	2.200000047683716	0.9756136991071207	0.9961325142388141	0.0031876704719742003	0.9999419669875064	6	5.584530070065671
rm2	rnd-1_family-63	Unknown	repeat:TE:ClassI:LTR	repeat:TE:ClassI:LTR	0.9439647604593001	742	415.0	0.5592991913746631	465.0	ok	1.0	2.5	0.9498808167455389	0.9966558695322495	0.005249507129608387	0.9999844459048012	6	5.564584782989881
rm2	rnd-1_family-200	Unknown	repeat:TE:ClassI:LTR:Gypsy	repeat:TE:ClassI:LTR:Gypsy	0.9614276365604881	1252	395.0	0.31549520766773165	427.0	ok	1.0	9.100000381469727	0.9491784154917842	0.9947771889477719	0.0028663800286638005	0.9780155317801553	6	5.540552700066017
pantera	Unknown_390-fGobNig	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.9990517119343434	8551	5132.0	0.6001637235411063	497.0	len_inconsistent	1.0	2.4000000953674316	0.8959792049573306	0.8752793026061717	0.007535052018198415	0.9999336159194532	6	5.481545155266393
pantera	Unknown_546-fGobNig	Unknown	repeat:TE:ClassI:LTR	repeat:TE:ClassI:LTR	0.9939752734189253	1183	311.0	0.2628909551986475	300.0	ok	1.0	9.300000190734863	0.9841223611646107	0.9888057948684222	0.07943047191349036	0.9990839823748814	6	5.46568854505987
pantera	Unknown_291-fGobNig	Unknown	repeat:TE:ClassI:LINE:Jockey	repeat:TE:ClassI:LINE:Jockey	0.975763092765909	1485	1295.0	0.8720538720538721	716.0	ok	1.0	1.600000023841858	0.9879489781542049	0.3230263950456456	0.00770697762740658	0.9999714140450964	6	5.423245141617121
pantera	Unknown_488-fGobNig	Unknown	repeat:TE:ClassI:LINE:Jockey	repeat:TE:ClassI:LINE:Jockey	0.7684254938868416	4643	740.0	0.15937971139349558	375.0	ok	1.0	12.5	0.7615796970969159	0.7804061842510781	0.014556674812353941	0.9989383103725257	6	5.41121760107897
pantera	Unknown_567-fGobNig	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.993620643026456	817	278.0	0.3402692778457772	268.0	ok	1.0	6.400000095367432	0.9903323262839879	0.9767991323882562	0.0046866527229065	0.997079556898288	6	5.411176254590321
rm2	rnd-2_family-440	Unknown		repeat:TE:ClassII:TIR:CACTA	0.36375960615467523	1687	347.0	0.20569057498518079	480.0	ok	1.0	10.5	0.8748287508647233	0.9946339676898661	0.0037220406114781006	0.9719083596706591	6	5.409792193345463
rm2	rnd-4_family-1024	DNA/hAT-Tip100		repeat:TE:ClassII:TIR:hAT	0.906064209274673	367	293.0	0.7983651226158038	49.0	ok	1.0	9.5	0.9973311817279047	0.9312313803376365	0.0004344587884806355	0.12096573982125124	6	5.395430182419651
pantera	Unknown_524-fGobNig	Unknown	repeat:TE:ClassI:LINE:RTE	repeat:TE:ClassI:LINE:RTE	0.9891953239112622	10036	3173.0	0.31616181745715427	326.0	len_inconsistent	1.0	5.099999904632568	0.9429610053592749	0.9473644890084016	0.012615190187017917	0.9996977906908929	6	5.3917955664680886
rm2	rnd-2_family-126	Unknown	repeat:TE:ClassII	repeat:TE:ClassII	0.9935008516134688	14260	4744.0	0.3326788218793829	499.0	len_inconsistent	1.0	7.599999904632568	0.8526321355547133	0.8544461596774278	0.03270873072328713	0.9983710478194445	6	5.383222975588348
pantera	Unknown_185-fGobNig	DNA	repeat:TE:ClassII:TIR:hAT	repeat:TE:ClassII:TIR:hAT	0.9684010060341348	1189	360.0	0.3027754415475189	1024.0	ok	1.0	7.599999904632568	0.9975693693603083	0.8113495364200666	0.01226043620600349	0.9984443963905973	6	5.365221406547662
rm2	rnd-1_family-198	Unknown	repeat:TE:ClassII	repeat:TE:ClassII	0.6832231262252288	823	265.0	0.3219927095990279	213.0	ok	1.0	8.600000381469727	0.9089801400748345	0.9912884965940708	0.16423294636860788	0.9532668137772234	6	5.323514510605714
rm2	rnd-1_family-252	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.9999063218849424	948	200.0	0.2109704641350211	720.0	ok	1.0	8.5	0.9975367671191231	0.9972051116400709	0.025191997429670036	0.9985248240671326	6	5.295771874423175
pantera	Unknown_290-fGobNig	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.999885849961189	733	198.0	0.27012278308321963	720.0	ok	1.0	5.199999809265137	0.9975066879873894	0.9970671375413973	0.02364478261199063	0.9987874470455389	6	5.2912390157903175
pantera	Unknown_407-fGobNig	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.9992148018972578	749	359.0	0.47930574098798395	487.0	ok	1.0	8.100000381469727	0.8826876896586338	0.8458987406280645	0.004876108996285973	0.9998069632226332	6	5.283680878865018
rm2	rnd-3_family-248	Unknown	repeat:TE:ClassII	repeat:TE:ClassII	0.9926230879941091	437	197.0	0.45080091533180777	509.0	ok	1.0	8.199999809265137	0.9749147349746987	0.9973094874933719	0.01819860040979582	0.9806034341675449	6	5.266690448629664
rm2	rnd-5_family-7910	SINE/tRNA		repeat:TE:ClassI:SINE:tRNA	0.6943879382553548	583	259.0	0.444253859348199	77.0	ok	1.0	20.600000381469727	0.907043847241867	0.9431966053748232	0.003536067892503536	0.2932107496463932	6	5.263540216697942
rm2	ltr-1_family-35	LTR/Unknown	repeat:TE:ClassI:LTR:Gypsy	repeat:TE:ClassI:LTR:Gypsy	0.9909568797559093	235	177.0	0.7531914893617021	423.0	ok	1.0	2.0999999046325684	0.9949065386396315	0.9944800526405576	2.437062851850949e-05	0.999951258742963	6	5.237359857641996
pantera	Unknown_315-fGobNig	Unknown	repeat:TE:ClassI:LTR	repeat:TE:ClassI:LTR	0.9989627968183793	359	173.0	0.4818941504178273	654.0	ok	1.0	8.0	0.9895192979532182	0.9914551829795963	0.0021410119165902785	0.997391042365113	6	5.21902058406161
rm2	rnd-1_family-327	Unknown	repeat:TE:ClassII	repeat:TE:ClassII	0.9934981171902485	381	170.0	0.4461942257217848	294.0	ok	1.0	4.099999904632568	0.9912196885571882	0.9951708287064536	0.00785063140769052	0.9958035276192444	6	5.216839438641916
rm2	rnd-5_family-982	DNA/hAT-Tag1		repeat:TE:ClassII:TIR:hAT	0.9259259259259259	363	210.0	0.5785123966942148	74.0	ok	1.0	14.5	0.9924387355379429	0.896647535756582	0.027967568552427803	0.15500592147216907	6	5.211305566028444
rm2	ltr-1_family-186	LTR/Unknown	repeat:TE:ClassI:LTR	repeat:TE:ClassI:LTR	0.9965999911688083	416	174.0	0.4182692307692308	324.0	ok	1.0	9.100000381469727	0.9844905827945111	0.9859852054023026	0.011859505474867596	0.9951370612253739	6	5.2110250364794135
rm2	rnd-1_family-291	Unknown	repeat:TE:ClassII:Helitron	repeat:TE:ClassII:Helitron	0.9183167642652866	885	230.0	0.2598870056497175	317.0	ok	1.0	9.800000190734863	0.8557831548981991	0.9904635187821028	0.017265919920787177	0.9183798502382573	6	5.207974509697895
pantera	Unknown_287-fGobNig	Unknown		repeat:TE:ClassI:LINE:Jockey	0.5714339645541608	10458	2126.0	0.20328934786766112	722.0	len_inconsistent	1.0	17.0	0.8905576220472116	0.9785327534143042	0.005843398437580737	0.9978228922875959	6	5.196653635648794
pantera	Unknown_183-fGobNig	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.997752609961584	2730	241.0	0.08827838827838828	1027.0	ok	1.0	14.149999618530273	0.9037376412516614	0.89453744558692	0.009979642961257394	0.998079175045828	6	5.18029212941345
rm2	rnd-1_family-120	Unknown		repeat:TE:ClassII:TIR:CACTA	0.397271017965335	12788	3005.0	0.23498592430403503	352.0	len_inconsistent	1.0	13.100000381469727	0.8083108986792548	0.8895823341734956	0.00662226820498739	0.9795694296465777	6	5.175737709191509
rm2	rnd-1_family-455	Unknown	repeat:TE:ClassII	repeat:TE:ClassII	0.9932222467165787	5464	1826.0	0.3341874084919473	297.0	len_inconsistent	1.0	8.899999618530273	0.9447762315153762	0.9565863600626963	0.022916176330667573	0.9883921819993691	6	5.162863364776353
pantera	Unknown_399-fGobNig	Unknown	repeat:TE:ClassI:LTR	repeat:TE:ClassI:LTR	0.9957840392302837	465	151.0	0.3247311827956989	492.0	ok	1.0	9.300000190734863	0.9907446765849942	0.9924770421462085	0.017917151221077114	0.9986445843525684	6	5.162198666024372
rm2	rnd-4_family-2825	Unknown	repeat:TE:ClassII:Helitron	repeat:TE:ClassII:Helitron	0.9620412947434858	246	159.0	0.6463414634146342	418.0	ok	1.0	2.450000047683716	0.9666416648656895	0.9927791408703169	0.0005975006674209583	0.9942029722480009	6	5.160817930056457
rm2	rnd-1_family-16	DNA/PIF-Harbinger		repeat:TE:ClassII:TIR:PIFHarbinger	0.9896897840185336	2955	418.0	0.14145516074450085	698.0	ok	1.0	7.699999809265137	0.9939489871077573	0.5297148390054974	0.007077807099269781	0.9529772154121566	6	5.14484010788829
rm2	ltr-1_family-121	LTR/Unknown	repeat:TE:ClassI:LTR	repeat:TE:ClassI:LTR	0.9994880109224337	229	142.0	0.6200873362445415	656.0	ok	1.0	7.199999809265137	0.9932916034931095	0.9926563386723812	0.002015907031111036	0.9999661192095611	6	5.138236286548547
pantera	Unknown_529-fGobNig	Unknown	repeat:TE:ClassI:SINE:5S	repeat:TE:ClassI:SINE:5S	0.9360293056001051	7712	1920.0	0.24896265560165975	319.0	len_inconsistent	1.0	10.100000381469727	0.9152946970532625	0.9126403495007465	0.015891905832417997	0.9858442565263392	6	5.111236275257559
rm2	rnd-1_family-78	DNA/hAT-Ac		repeat:TE:ClassII:TIR:hAT	0.9501391319676156	2312	742.0	0.3209342560553633	240.0	ok	1.0	8.800000190734863	0.9650825952305494	0.2756278738747755	0.039885350814276105	0.9451663302808405	6	5.111114374384352
rm2	rnd-1_family-587	Unknown		repeat:TE:ClassII:TIR:CACTA	0.398547968688801	6105	1512.0	0.24766584766584768	393.0	len_inconsistent	1.0	12.300000190734863	0.9398161181297899	0.9876651940809288	0.005606729963214189	0.9820466687531356	6	5.107033103375906
rm2	rnd-4_family-567	Unknown		repeat:TE:ClassII:TIR:CACTA	0.4131357977029244	552	219.0	0.3967391304347826	182.0	ok	1.0	12.0	0.7544058784873648	0.994085668200012	0.0021506661090865643	0.9343748133102335	6	5.088935661527495
rm2	rnd-2_family-485	DNA/hAT-Charlie		repeat:TE:ClassII:TIR:hAT	0.975115167065135	1966	232.0	0.11800610376398779	296.0	ok	1.0	16.700000762939453	0.9855666397052215	0.7000772894760493	0.006718792127258021	0.5465156825739192	6	5.051131914072171
rm2	rnd-2_family-33	DNA/hAT-Charlie		repeat:TE:ClassII:TIR:hAT	0.7774380260800894	1167	473.0	0.40531276778063413	433.0	ok	1.0	6.800000190734863	0.7090769353934833	0.6667104315106877	0.03235929869506044	0.9983059803058202	6	5.0506485076419825
rm2	rnd-5_family-2252	Unknown	repeat:TE:ClassII:Helitron	repeat:TE:ClassII:Helitron	0.9428134978995865	508	131.0	0.2578740157480315	482.0	ok	1.0	6.900000095367432	0.9252201711223242	0.9914517190585138	0.00229573447832764	0.9728429498229229	6	5.033943185836603
rm2	rnd-1_family-367	Unknown		repeat:TE:ClassII:TIR:CACTA	0.44490273595273094	1349	322.0	0.23869532987398073	215.0	ok	1.0	10.399999618530273	0.6353503096276137	0.8838854794368387	0.0023381744466968424	0.8943989336591597	6	5.027091660760283
rm2	rnd-1_family-261	Unknown	repeat:TE:ClassII:Helitron	repeat:TE:ClassII:Helitron	0.805374915301965	721	186.0	0.2579750346740638	358.0	ok	1.0	11.199999809265137	0.765238605979123	0.990430079912987	0.015929724912005075	0.8679094218771244	6	5.025181630110026
rm2	rnd-1_family-293	Unknown	repeat:TE:ClassII:Helitron	repeat:TE:ClassII:Helitron	0.7523581193165995	693	223.0	0.3217893217893218	199.0	ok	1.0	11.0	0.6737376162687517	0.9951665605328267	0.0010752575920493575	0.8669916798029043	6	5.017209039849739
rm2	rnd-5_family-2540	DNA/hAT-Ac		repeat:TE:ClassII:TIR:hAT	0.9906622611693722	356	273.0	0.7668539325842697	70.0	ok	1.0	14.5	0.9798473701046474	0.5937942695242883	0.005666499108897318	0.724306539322762	6	5.0098042866696915
rm2	rnd-2_family-27	Unknown	repeat:TE:ClassII	repeat:TE:ClassII	0.9910906526096963	2603	1057.0	0.4060699193238571	269.0	len_inconsistent	1.0	6.699999809265137	0.9871305580835146	0.9793338488296643	0.01219155733100047	0.9979290314957202	6	4.990539394220605
rm2	rnd-1_family-511	Unknown	repeat:TE:ClassII:TIR:CACTA	repeat:TE:ClassII:TIR:CACTA	0.6152870137547573	2811	1102.0	0.392031305585201	873.0	len_inconsistent	1.0	3.0	0.9499147402714073	0.9957780331614579	0.03468765784914961	0.9997382882287333	6	4.987874367948631
pantera	Unknown_455-fGobNig	Unknown		repeat:TE:ClassII:TIR:Mutator	0.5038269400529652	818	157.0	0.19193154034229828	434.0	ok	1.0	0.8999999761581421	0.8467103370542767	0.940262116646152	0.030503246982923275	1.0	6	4.982872106109662
rm2	rnd-1_family-568	Unknown		repeat:TE:ClassII:Helitron	0.5306876160792434	454	167.0	0.36784140969163	150.0	ok	1.0	8.199999809265137	0.7684388288673218	0.9916783657856721	0.0012411239292762822	0.9614030804288999	6	4.982833665800578
rm2	rnd-1_family-265	Unknown	repeat:TE:ClassII	repeat:TE:ClassII	0.7419068300845078	9551	1219.0	0.12763061459533034	1087.0	len_inconsistent	1.0	9.300000190734863	0.9440882136032841	0.9515895071526601	0.059276020309515266	0.9996296757033648	6	4.981681426374326
rm2	rnd-1_family-193	Unknown		repeat:TE:ClassI:LINE:Jockey	0.5651440205988365	12546	2081.0	0.16586959987246933	722.0	len_inconsistent	1.0	17.899999618530273	0.7763836513505166	0.8689985685769211	0.006139156912551806	0.9940933628991734	6	4.963654300139065
rm2	rnd-1_family-456	Unknown	repeat:TE:ClassII	repeat:TE:ClassII	0.9993512903680722	197	94.0	0.47715736040609136	261.0	ok	1.0	2.299999952316284	0.9945617133406217	0.9938889356095647	0.12468813948924957	1.0	6	4.9615785025498855
rm2	rnd-3_family-233	Unknown		repeat:TE:ClassI:LTR	0.42289850765979925	3821	1400.0	0.36639623135304894	488.0	len_inconsistent	1.0	10.899999618530273	0.8124346818951943	0.9948712736405433	0.009119739407913665	0.9981852325140104	6	4.953433991213975
pantera	Unknown_536-fGobNig	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.9993597478391489	209	95.0	0.45454545454545453	311.0	ok	1.0	3.4000000953674316	0.9846234784896095	0.9815146949805104	0.12946887629433007	0.9895975321041681	6	4.943861778758968
pantera	Unknown_495-fGobNig	Unknown	repeat:TE:ClassI:LTR	repeat:TE:ClassI:LTR	0.9895985806165447	198	90.0	0.45454545454545453	358.0	ok	1.0	10.600000381469727	0.9902588121467994	0.9937770741253821	0.0019790223629527013	0.9977131297139213	6	4.938278395711507
rm2	rnd-3_family-204	DNA/PIF-Harbinger		repeat:TE:ClassII:TIR:PIFHarbinger	0.9974456136396719	664	88.0	0.13253012048192772	906.0	ok	1.0	6.800000190734863	0.9922668728833898	0.9914268952827925	0.02574598010719714	0.9550678648569372	6	4.928176440316351
rm2	rnd-2_family-211	Unknown		repeat:TE:ClassII:TIR:Mutator	0.5997761042133116	1265	179.0	0.14150197628458497	295.0	ok	1.0	14.100000381469727	0.6830158486595498	0.9914125693241851	0.0017098138933339178	0.8163100900940398	6	4.927281448963628
rm2	rnd-4_family-258	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.9943638383870915	1089	87.0	0.07988980716253444	753.0	ok	1.0	7.800000190734863	0.9926663941948071	0.9931599281291208	0.02707496317774162	0.9645889402129907	6	4.925345574942546
rm2	rnd-1_family-497	LINE/Rex-Babar		repeat:TE:ClassI:LINE:RTE	0.9990899278291604	298	103.0	0.34563758389261745	260.0	ok	1.0	7.300000190734863	0.9812439042688874	0.9283142021156876	0.016917998349463576	0.9578925650836522	6	4.9223953310897475
pantera	Unknown_231-fGobNig	Unknown	repeat:TE:ClassI:LINE:RTE	repeat:TE:ClassI:LINE:RTE	0.7811769275452184	8973	225.0	0.025075225677031094	899.0	ok	1.0	13.699999809265137	0.9783608777212438	0.5850463626390688	0.011184048095988353	0.9994873765847674	6	4.9155897584716755
rm2	rnd-1_family-517	Unknown	repeat:TE:ClassI:LINE:Jockey	repeat:TE:ClassI:LINE:Jockey	0.8891359024840566	532	181.0	0.34022556390977443	403.0	ok	1.0	8.399999618530273	0.7855773011402389	0.8670389895926113	0.008770451682273738	0.9847861149226066	6	4.910294865602035
pantera	Unknown_286-fGobNig	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.962445334438153	1056	97.0	0.09185606060606061	723.0	ok	1.0	16.399999618530273	0.9632120235801228	0.9544638506884852	0.00738744354070556	0.9990562683533858	6	4.904447608534852
rm2	rnd-1_family-571	LINE/Dong-R4		repeat:TE:ClassI:LINE:R2	1.0	645	80.0	0.12403100775193798	1568.0	ok	1.0	2.4000000953674316	0.9993335499981487	0.9988193138856092	0.10755351140987086	1.0	6	4.901242850875701
pantera	Unknown_549-fGobNig	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.9989931186854157	2992	1009.0	0.3372326203208556	298.0	len_inconsistent	1.0	8.399999618530273	0.9504822698364273	0.9453987143081508	0.024482663378723082	0.9958750268529434	6	4.899772150381489
pantera	Unknown_500-fGobNig	Unknown	repeat:TE:ClassII:TIR:CACTA	repeat:TE:ClassII:TIR:CACTA	0.9193392542785668	404	93.0	0.2301980198019802	352.0	ok	1.0	10.649999618530273	0.9285479696798519	0.9925250587879823	0.015449087636788797	0.999986863020717	6	4.889555977021769
pantera	Unknown_425-fGobNig	Unknown		repeat:TE:ClassI:LTR	0.5277225207433576	4451	1288.0	0.28937317456751294	470.0	len_inconsistent	1.0	13.300000190734863	0.7869015485154142	0.98894019036795	0.006805733137598459	0.9989889662357342	6	4.885757601907158
rm2	ltr-1_family-468	LTR/Unknown	repeat:TE:ClassI:LTR	repeat:TE:ClassI:LTR	0.9930152022069613	178	81.0	0.4550561797752809	428.0	ok	1.0	16.799999237060547	0.9831673688242053	0.9873037150517043	0.00032554576790501724	0.9914592110302566	6	4.878956102754559
rm2	rnd-5_family-1388	DNA	repeat:TE:ClassII	repeat:TE:ClassII	0.9893960350391886	197	76.0	0.38578680203045684	92.0	ok	1.0	9.699999809265137	0.9982498858621215	0.9976411505098158	0.00616344544209405	0.16740222188403592	6	4.876704628652728
rm2	ltr-1_family-45	LTR/Unknown	repeat:TE:ClassI:LTR	repeat:TE:ClassI:LTR	1.0	92	75.0	0.8152173913043478	645.0	ok	1.0	1.2000000476837158	0.9992111698351345	0.9992111698351345	0.02632720675238621	0.9983828981620257	6	4.873483603061969
pantera	Unknown_525-fGobNig	Unknown	repeat:TE:ClassI:LTR	repeat:TE:ClassI:LTR	0.9819295051385241	2375	833.0	0.3507368421052632	324.0	len_inconsistent	1.0	8.600000381469727	0.974839382934178	0.9729440035206128	0.012553076070072396	0.9998627483872935	6	4.868428387861578
rm2	rnd-1_family-315	Unknown		repeat:TE:ClassII:TIR:PIFHarbinger	0.43977064267194116	3746	992.0	0.26481580352375866	534.0	len_inconsistent	1.0	12.800000190734863	0.8866241132089265	0.9656269357262326	0.007992357370010581	0.9983659630296665	6	4.848762721089337
rm2	rnd-2_family-627	Unknown		repeat:TE:ClassII:TIR:CACTA	0.4621982057135622	1902	155.0	0.08149316508937961	419.0	ok	1.0	15.800000190734863	0.6596727097804074	0.9974385449955113	0.002644181422097758	0.8252879338924005	6	4.84744295294621
rm2	ltr-1_family-36	LTR/Gypsy		repeat:TE:ClassI:LTR:Gypsy	1.0	83	69.0	0.8313253012048193	6523.0	ok	1.0	0.699999988079071	1.0	1.0	0.0	1.0	6	4.838849090737256
rm2	rnd-3_family-333	DNA/hAT-Tip100		repeat:TE:ClassII:TIR:hAT	0.9526973580129726	906	238.0	0.26269315673289184	169.0	ok	1.0	14.300000190734863	0.9959058883270211	0.45696422148403615	0.003427628377377653	0.6099062691746187	6	4.829447066867569
rm2	rnd-1_family-436	Unknown	repeat:TE:ClassII:TIR:CACTA	repeat:TE:ClassII:TIR:CACTA	0.6000305594628725	2069	733.0	0.3542774287095215	320.0	len_inconsistent	1.0	5.800000190734863	0.9700526801788336	0.9934874986990498	0.011149419942293171	0.9919883612013473	6	4.828644153519011
rm2	rnd-1_family-406	Unknown	repeat:TE:ClassI:LTR	repeat:TE:ClassI:LTR	0.6839157864889771	480	127.0	0.26458333333333334	302.0	ok	1.0	8.300000190734863	0.7641954146132419	0.9581696545484847	0.01883198819131967	0.8814727519462896	6	4.826168790117683
rm2	rnd-1_family-20	Unknown	repeat:TE:ClassII	repeat:TE:ClassII	0.9567418162442972	1751	772.0	0.440890919474586	258.0	len_inconsistent	1.0	9.899999618530273	0.9553066348185104	0.9814497332074817	0.012578737503130237	0.9826311970668875	6	4.824373668361728
rm2	rnd-3_family-30	Unknown	repeat:TE:ClassII:Helitron	repeat:TE:ClassII:Helitron	0.6303587564221749	6610	1330.0	0.20121028744326777	669.0	len_inconsistent	1.0	5.699999809265137	0.723221135690577	0.9566135988710671	0.038285333810347225	0.997466360582752	6	4.80368637552873
pantera	Unknown_368-fGobNig	Unknown		repeat:TE:ClassII:TIR:PIFHarbinger	0.487915132882974	2119	863.0	0.4072675790467202	527.0	len_inconsistent	1.0	7.900000095367432	0.8954068645276791	0.9684103051833618	0.005608548490866877	0.9997118800525889	6	4.799827965426251
rm2	rnd-1_family-391	DNA/hAT-Tip100		repeat:TE:ClassII:TIR:hAT	0.997729613332085	546	146.0	0.2673992673992674	242.0	ok	1.0	7.699999809265137	0.99073347377697	0.640739669819764	0.011345642805017419	0.9475264020267944	6	4.795825999381171
pantera	Unknown_526-fGobNig	Unknown	repeat:TE:ClassI:SINE:5S	repeat:TE:ClassI:SINE:5S	0.8899055967159185	3802	889.0	0.23382430299842188	322.0	len_inconsistent	1.0	8.800000190734863	0.9124137271647412	0.9336474996070221	0.019227559339667435	0.9885104596950491	6	4.794962987741977
rm2	rnd-1_family-351	DNA/hAT-Ac		repeat:TE:ClassII:TIR:hAT	0.5510603358692445	559	82.0	0.14669051878354203	1015.0	ok	1.0	4.699999809265137	0.9985986625635507	0.8742663998520188	0.018402363215452827	0.9995739934193194	6	4.786678914799286
rm2	rnd-1_family-445	Unknown	repeat:TE:ClassII:Helitron	repeat:TE:ClassII:Helitron	0.6475085888461241	847	119.0	0.14049586776859505	324.0	ok	1.0	9.300000190734863	0.707761291177995	0.9956667430059183	0.0011089280763713946	0.9375926617889903	6	4.778974995576444
rm2	ltr-1_family-199	LTR/Unknown	repeat:TE:ClassI:LTR	repeat:TE:ClassI:LTR	0.996303025242506	1816	648.0	0.3568281938325991	324.0	len_inconsistent	1.0	8.0	0.9821784476705999	0.9832599143886033	0.01272563585713315	1.0	6	4.777013367929796
rm2	rnd-1_family-578	Unknown	repeat:TE:ClassII:Helitron	repeat:TE:ClassII:Helitron	0.9122983009370262	2765	745.0	0.2694394213381555	466.0	len_inconsistent	1.0	7.699999809265137	0.9216829036482476	0.9823609880299404	0.038802322474775865	0.9912695504402453	6	4.776200164426481
rm2	rnd-4_family-325	Unknown		repeat:TE:ClassII:Helitron	0.35319616229337647	304	142.0	0.46710526315789475	94.0	ok	1.0	11.75	0.6275535291225247	0.9951276205802154	0.018684904563944393	0.7782843860354923	6	4.774969494085797
rm2	rnd-1_family-430	DNA/hAT		repeat:TE:ClassII:TIR:hAT	0.9865654362867835	1301	292.0	0.22444273635664874	263.0	ok	1.0	13.699999809265137	0.9793581774496357	0.32579935992840536	0.005427962763008142	0.8548554975146156	6	4.7705403888264595
pantera	Unknown_443-fGobNig	Unknown		repeat:TE:ClassII:TIR:PIFHarbinger	0.38311136520146044	2794	959.0	0.3432355046528275	448.0	len_inconsistent	1.0	10.699999809265137	0.7809215761245853	0.9957889406731495	0.01338496832663353	0.9983698291808327	6	4.7585291239683984
