# genbank	assembly	ncbi	ucsc
CATOHO010000046.1	SCAFFOLD_325		chrUn_CATOHO010000046v1
CATOHO010000047.1	SCAFFOLD_140		chrUn_CATOHO010000047v1
CATOHO010000048.1	SCAFFOLD_202		chrUn_CATOHO010000048v1
CATOHO010000049.1	SCAFFOLD_160		chrUn_CATOHO010000049v1
CATOHO010000050.1	SCAFFOLD_208		chrUn_CATOHO010000050v1
CATOHO010000051.1	SCAFFOLD_204		chrUn_CATOHO010000051v1
CATOHO010000052.1	SCAFFOLD_46		chrUn_CATOHO010000052v1
CATOHO010000053.1	SCAFFOLD_272		chrUn_CATOHO010000053v1
CATOHO010000054.1	SCAFFOLD_114		chrUn_CATOHO010000054v1
CATOHO010000055.1	SCAFFOLD_118		chrUn_CATOHO010000055v1
CATOHO010000056.1	SCAFFOLD_230		chrUn_CATOHO010000056v1
CATOHO010000057.1	SCAFFOLD_273		chrUn_CATOHO010000057v1
CATOHO010000058.1	SCAFFOLD_96		chrUn_CATOHO010000058v1
CATOHO010000059.1	SCAFFOLD_82		chrUn_CATOHO010000059v1
CATOHO010000060.1	SCAFFOLD_94		chrUn_CATOHO010000060v1
CATOHO010000061.1	SCAFFOLD_78		chrUn_CATOHO010000061v1
CATOHO010000062.1	SCAFFOLD_203		chrUn_CATOHO010000062v1
CATOHO010000063.1	SCAFFOLD_286		chrUn_CATOHO010000063v1
CATOHO010000064.1	SCAFFOLD_112		chrUn_CATOHO010000064v1
CATOHO010000065.1	SCAFFOLD_259		chrUn_CATOHO010000065v1
CATOHO010000066.1	SCAFFOLD_227		chrUn_CATOHO010000066v1
CATOHO010000067.1	SCAFFOLD_314		chrUn_CATOHO010000067v1
CATOHO010000068.1	SCAFFOLD_55		chrUn_CATOHO010000068v1
CATOHO010000069.1	SCAFFOLD_326		chrUn_CATOHO010000069v1
CATOHO010000070.1	SCAFFOLD_62		chrUn_CATOHO010000070v1
CATOHO010000071.1	SCAFFOLD_187		chrUn_CATOHO010000071v1
CATOHO010000072.1	SCAFFOLD_312		chrUn_CATOHO010000072v1
CATOHO010000073.1	SCAFFOLD_193		chrUn_CATOHO010000073v1
CATOHO010000074.1	SCAFFOLD_251		chrUn_CATOHO010000074v1
CATOHO010000075.1	SCAFFOLD_192		chrUn_CATOHO010000075v1
CATOHO010000076.1	SCAFFOLD_313		chrUn_CATOHO010000076v1
CATOHO010000077.1	SCAFFOLD_198		chrUn_CATOHO010000077v1
CATOHO010000078.1	SCAFFOLD_194		chrUn_CATOHO010000078v1
CATOHO010000079.1	SCAFFOLD_285		chrUn_CATOHO010000079v1
CATOHO010000080.1	SCAFFOLD_32		chrUn_CATOHO010000080v1
CATOHO010000081.1	SCAFFOLD_116		chrUn_CATOHO010000081v1
CATOHO010000082.1	SCAFFOLD_282		chrUn_CATOHO010000082v1
CATOHO010000083.1	SCAFFOLD_124		chrUn_CATOHO010000083v1
CATOHO010000084.1	SCAFFOLD_128		chrUn_CATOHO010000084v1
CATOHO010000085.1	SCAFFOLD_141		chrUn_CATOHO010000085v1
CATOHO010000086.1	SCAFFOLD_122		chrUn_CATOHO010000086v1
CATOHO010000087.1	SCAFFOLD_284		chrUn_CATOHO010000087v1
CATOHO010000088.1	SCAFFOLD_195		chrUn_CATOHO010000088v1
CATOHO010000089.1	SCAFFOLD_288		chrUn_CATOHO010000089v1
CATOHO010000090.1	SCAFFOLD_315		chrUn_CATOHO010000090v1
CATOHO010000091.1	SCAFFOLD_276		chrUn_CATOHO010000091v1
CATOHO010000092.1	SCAFFOLD_123		chrUn_CATOHO010000092v1
CATOHO010000093.1	SCAFFOLD_77		chrUn_CATOHO010000093v1
CATOHO010000094.1	SCAFFOLD_297		chrUn_CATOHO010000094v1
CATOHO010000095.1	SCAFFOLD_206		chrUn_CATOHO010000095v1
CATOHO010000096.1	SCAFFOLD_283		chrUn_CATOHO010000096v1
CATOHO010000097.1	SCAFFOLD_307		chrUn_CATOHO010000097v1
CATOHO010000098.1	SCAFFOLD_231		chrUn_CATOHO010000098v1
CATOHO010000099.1	SCAFFOLD_70		chrUn_CATOHO010000099v1
CATOHO010000100.1	SCAFFOLD_181		chrUn_CATOHO010000100v1
CATOHO010000101.1	SCAFFOLD_133		chrUn_CATOHO010000101v1
CATOHO010000102.1	SCAFFOLD_170		chrUn_CATOHO010000102v1
CATOHO010000103.1	SCAFFOLD_244		chrUn_CATOHO010000103v1
CATOHO010000104.1	SCAFFOLD_268		chrUn_CATOHO010000104v1
CATOHO010000105.1	SCAFFOLD_35		chrUn_CATOHO010000105v1
CATOHO010000106.1	SCAFFOLD_264		chrUn_CATOHO010000106v1
CATOHO010000107.1	SCAFFOLD_248		chrUn_CATOHO010000107v1
CATOHO010000108.1	SCAFFOLD_221		chrUn_CATOHO010000108v1
CATOHO010000109.1	SCAFFOLD_262		chrUn_CATOHO010000109v1
CATOHO010000110.1	SCAFFOLD_242		chrUn_CATOHO010000110v1
CATOHO010000111.1	SCAFFOLD_100		chrUn_CATOHO010000111v1
CATOHO010000112.1	SCAFFOLD_155		chrUn_CATOHO010000112v1
CATOHO010000113.1	SCAFFOLD_47		chrUn_CATOHO010000113v1
CATOHO010000114.1	SCAFFOLD_210		chrUn_CATOHO010000114v1
CATOHO010000115.1	SCAFFOLD_97		chrUn_CATOHO010000115v1
CATOHO010000116.1	SCAFFOLD_138		chrUn_CATOHO010000116v1
CATOHO010000117.1	SCAFFOLD_134		chrUn_CATOHO010000117v1
CATOHO010000118.1	SCAFFOLD_243		chrUn_CATOHO010000118v1
CATOHO010000119.1	SCAFFOLD_263		chrUn_CATOHO010000119v1
CATOHO010000120.1	SCAFFOLD_90		chrUn_CATOHO010000120v1
CATOHO010000121.1	SCAFFOLD_257		chrUn_CATOHO010000121v1
CATOHO010000122.1	SCAFFOLD_132		chrUn_CATOHO010000122v1
CATOHO010000123.1	SCAFFOLD_179		chrUn_CATOHO010000123v1
CATOHO010000124.1	SCAFFOLD_135		chrUn_CATOHO010000124v1
CATOHO010000125.1	SCAFFOLD_167		chrUn_CATOHO010000125v1
CATOHO010000126.1	SCAFFOLD_147		chrUn_CATOHO010000126v1
CATOHO010000127.1	SCAFFOLD_59		chrUn_CATOHO010000127v1
CATOHO010000128.1	SCAFFOLD_109		chrUn_CATOHO010000128v1
CATOHO010000129.1	SCAFFOLD_153		chrUn_CATOHO010000129v1
CATOHO010000130.1	SCAFFOLD_219		chrUn_CATOHO010000130v1
CATOHO010000131.1	SCAFFOLD_291		chrUn_CATOHO010000131v1
CATOHO010000132.1	SCAFFOLD_152		chrUn_CATOHO010000132v1
CATOHO010000133.1	SCAFFOLD_265		chrUn_CATOHO010000133v1
CATOHO010000134.1	SCAFFOLD_301		chrUn_CATOHO010000134v1
CATOHO010000135.1	SCAFFOLD_237		chrUn_CATOHO010000135v1
CATOHO010000136.1	SCAFFOLD_245		chrUn_CATOHO010000136v1
CATOHO010000137.1	SCAFFOLD_154		chrUn_CATOHO010000137v1
CATOHO010000138.1	SCAFFOLD_63		chrUn_CATOHO010000138v1
CATOHO010000139.1	SCAFFOLD_158		chrUn_CATOHO010000139v1
CATOHO010000140.1	SCAFFOLD_148		chrUn_CATOHO010000140v1
CATOHO010000141.1	SCAFFOLD_164		chrUn_CATOHO010000141v1
CATOHO010000142.1	SCAFFOLD_168		chrUn_CATOHO010000142v1
CATOHO010000143.1	SCAFFOLD_144		chrUn_CATOHO010000143v1
CATOHO010000144.1	SCAFFOLD_270		chrUn_CATOHO010000144v1
CATOHO010000145.1	SCAFFOLD_233		chrUn_CATOHO010000145v1
CATOHO010000146.1	SCAFFOLD_281		chrUn_CATOHO010000146v1
CATOHO010000147.1	SCAFFOLD_255		chrUn_CATOHO010000147v1
CATOHO010000148.1	SCAFFOLD_142		chrUn_CATOHO010000148v1
CATOHO010000149.1	SCAFFOLD_200		chrUn_CATOHO010000149v1
CATOHO010000150.1	SCAFFOLD_162		chrUn_CATOHO010000150v1
CATOHO010000151.1	SCAFFOLD_121		chrUn_CATOHO010000151v1
CATOHO010000152.1	SCAFFOLD_163		chrUn_CATOHO010000152v1
CATOHO010000153.1	SCAFFOLD_143		chrUn_CATOHO010000153v1
CATOHO010000154.1	SCAFFOLD_329		chrUn_CATOHO010000154v1
CATOHO010000155.1	SCAFFOLD_58		chrUn_CATOHO010000155v1
CATOHO010000156.1	SCAFFOLD_234		chrUn_CATOHO010000156v1
CATOHO010000157.1	SCAFFOLD_238		chrUn_CATOHO010000157v1
CATOHO010000158.1	SCAFFOLD_232		chrUn_CATOHO010000158v1
CATOHO010000159.1	SCAFFOLD_41		chrUn_CATOHO010000159v1
CATOHO010000160.1	SCAFFOLD_157		chrUn_CATOHO010000160v1
CATOHO010000161.1	SCAFFOLD_247		chrUn_CATOHO010000161v1
CATOHO010000162.1	SCAFFOLD_267		chrUn_CATOHO010000162v1
CATOHO010000163.1	SCAFFOLD_279		chrUn_CATOHO010000163v1
CATOHO010000164.1	SCAFFOLD_235		chrUn_CATOHO010000164v1
CATOHO010000165.1	SCAFFOLD_311		chrUn_CATOHO010000165v1
CATOHO010000166.1	SCAFFOLD_253		chrUn_CATOHO010000166v1
CATOHO010000167.1	SCAFFOLD_66		chrUn_CATOHO010000167v1
CATOHO010000168.1	SCAFFOLD_64		chrUn_CATOHO010000168v1
CATOHO010000169.1	SCAFFOLD_209		chrUn_CATOHO010000169v1
CATOHO010000170.1	SCAFFOLD_320		chrUn_CATOHO010000170v1
CATOHO010000171.1	SCAFFOLD_145		chrUn_CATOHO010000171v1
CATOHO010000172.1	SCAFFOLD_137		chrUn_CATOHO010000172v1
CATOHO010000173.1	SCAFFOLD_165		chrUn_CATOHO010000173v1
CATOHO010000174.1	SCAFFOLD_252		chrUn_CATOHO010000174v1
CATOHO010000175.1	SCAFFOLD_191		chrUn_CATOHO010000175v1
CATOHO010000176.1	SCAFFOLD_119		chrUn_CATOHO010000176v1
CATOHO010000177.1	SCAFFOLD_258		chrUn_CATOHO010000177v1
CATOHO010000178.1	SCAFFOLD_36		chrUn_CATOHO010000178v1
CATOHO010000179.1	SCAFFOLD_254		chrUn_CATOHO010000179v1
CATOHO010000180.1	SCAFFOLD_127		chrUn_CATOHO010000180v1
CATOHO010000181.1	SCAFFOLD_68		chrUn_CATOHO010000181v1
CATOHO010000182.1	SCAFFOLD_330		chrUn_CATOHO010000182v1
CATOHO010000183.1	SCAFFOLD_293		chrUn_CATOHO010000183v1
CATOHO010000184.1	SCAFFOLD_287		chrUn_CATOHO010000184v1
CATOHO010000185.1	SCAFFOLD_303		chrUn_CATOHO010000185v1
CATOHO010000186.1	SCAFFOLD_225		chrUn_CATOHO010000186v1
CATOHO010000187.1	SCAFFOLD_302		chrUn_CATOHO010000187v1
CATOHO010000188.1	SCAFFOLD_151		chrUn_CATOHO010000188v1
CATOHO010000189.1	SCAFFOLD_292		chrUn_CATOHO010000189v1
CATOHO010000190.1	SCAFFOLD_185		chrUn_CATOHO010000190v1
CATOHO010000191.1	SCAFFOLD_294		chrUn_CATOHO010000191v1
CATOHO010000192.1	SCAFFOLD_298		chrUn_CATOHO010000192v1
CATOHO010000193.1	SCAFFOLD_308		chrUn_CATOHO010000193v1
CATOHO010000194.1	SCAFFOLD_304		chrUn_CATOHO010000194v1
CATOHO010000195.1	SCAFFOLD_228		chrUn_CATOHO010000195v1
CATOHO010000196.1	SCAFFOLD_71		chrUn_CATOHO010000196v1
CATOHO010000197.1	SCAFFOLD_317		chrUn_CATOHO010000197v1
CATOHO010000198.1	SCAFFOLD_224		chrUn_CATOHO010000198v1
CATOHO010000199.1	SCAFFOLD_182		chrUn_CATOHO010000199v1
CATOHO010000200.1	SCAFFOLD_216		chrUn_CATOHO010000200v1
CATOHO010000201.1	SCAFFOLD_188		chrUn_CATOHO010000201v1
CATOHO010000202.1	SCAFFOLD_184		chrUn_CATOHO010000202v1
CATOHO010000203.1	SCAFFOLD_295		chrUn_CATOHO010000203v1
CATOHO010000204.1	SCAFFOLD_305		chrUn_CATOHO010000204v1
CATOHO010000205.1	SCAFFOLD_261		chrUn_CATOHO010000205v1
CATOHO010000206.1	SCAFFOLD_222		chrUn_CATOHO010000206v1
CATOHO010000207.1	SCAFFOLD_241		chrUn_CATOHO010000207v1
CATOHO010000208.1	SCAFFOLD_223		chrUn_CATOHO010000208v1
CATOHO010000209.1	SCAFFOLD_176		chrUn_CATOHO010000209v1
CATOHO010000210.1	SCAFFOLD_87		chrUn_CATOHO010000210v1
CATOHO010000211.1	SCAFFOLD_131		chrUn_CATOHO010000211v1
CATOHO010000212.1	SCAFFOLD_183		chrUn_CATOHO010000212v1
CATOHO010000213.1	SCAFFOLD_54		chrUn_CATOHO010000213v1
CATOHO010000214.1	SCAFFOLD_106		chrUn_CATOHO010000214v1
CATOHO010000215.1	SCAFFOLD_197		chrUn_CATOHO010000215v1
CATOHO010000216.1	SCAFFOLD_60		chrUn_CATOHO010000216v1
CATOHO010000217.1	SCAFFOLD_249		chrUn_CATOHO010000217v1
CATOHO010000218.1	SCAFFOLD_269		chrUn_CATOHO010000218v1
CATOHO010000219.1	SCAFFOLD_277		chrUn_CATOHO010000219v1
CATOHO010000220.1	SCAFFOLD_215		chrUn_CATOHO010000220v1
CATOHO010000221.1	SCAFFOLD_67		chrUn_CATOHO010000221v1
CATOHO010000222.1	SCAFFOLD_296		chrUn_CATOHO010000222v1
CATOHO010000223.1	SCAFFOLD_95		chrUn_CATOHO010000223v1
CATOHO010000224.1	SCAFFOLD_331		chrUn_CATOHO010000224v1
CATOHO010000225.1	SCAFFOLD_207		chrUn_CATOHO010000225v1
CATOHO010000226.1	SCAFFOLD_79		chrUn_CATOHO010000226v1
CATOHO010000227.1	SCAFFOLD_306		chrUn_CATOHO010000227v1
CATOHO010000228.1	SCAFFOLD_117		chrUn_CATOHO010000228v1
CATOHO010000229.1	SCAFFOLD_175		chrUn_CATOHO010000229v1
CATOHO010000230.1	SCAFFOLD_139		chrUn_CATOHO010000230v1
CATOHO010000231.1	SCAFFOLD_150		chrUn_CATOHO010000231v1
CATOHO010000232.1	SCAFFOLD_105		chrUn_CATOHO010000232v1
CATOHO010000233.1	SCAFFOLD_260		chrUn_CATOHO010000233v1
CATOHO010000234.1	SCAFFOLD_102		chrUn_CATOHO010000234v1
CATOHO010000235.1	SCAFFOLD_240		chrUn_CATOHO010000235v1
CATOHO010000236.1	SCAFFOLD_174		chrUn_CATOHO010000236v1
CATOHO010000237.1	SCAFFOLD_178		chrUn_CATOHO010000237v1
CATOHO010000238.1	SCAFFOLD_213		chrUn_CATOHO010000238v1
CATOHO010000239.1	SCAFFOLD_172		chrUn_CATOHO010000239v1
CATOHO010000240.1	SCAFFOLD_104		chrUn_CATOHO010000240v1
CATOHO010000241.1	SCAFFOLD_108		chrUn_CATOHO010000241v1
CATOHO010000242.1	SCAFFOLD_226		chrUn_CATOHO010000242v1
CATOHO010000243.1	SCAFFOLD_173		chrUn_CATOHO010000243v1
CATOHO010000244.1	SCAFFOLD_218		chrUn_CATOHO010000244v1
CATOHO010000245.1	SCAFFOLD_130		chrUn_CATOHO010000245v1
CATOHO010000246.1	SCAFFOLD_214		chrUn_CATOHO010000246v1
CATOHO010000247.1	SCAFFOLD_327		chrUn_CATOHO010000247v1
CATOHO010000248.1	SCAFFOLD_159		chrUn_CATOHO010000248v1
CATOHO010000249.1	SCAFFOLD_212		chrUn_CATOHO010000249v1
CATOHO010000250.1	SCAFFOLD_186		chrUn_CATOHO010000250v1
CATOHO010000251.1	SCAFFOLD_103		chrUn_CATOHO010000251v1
CATOHO010000252.1	SCAFFOLD_201		chrUn_CATOHO010000252v1
CATOHO010000253.1	SCAFFOLD_120		chrUn_CATOHO010000253v1
CATOHO010000254.1	SCAFFOLD_236		chrUn_CATOHO010000254v1
CATOHO010000255.1	SCAFFOLD_319		chrUn_CATOHO010000255v1
CATOHO010000256.1	SCAFFOLD_271		chrUn_CATOHO010000256v1
CATOHO010000257.1	SCAFFOLD_280		chrUn_CATOHO010000257v1
CATOHO010000258.1	SCAFFOLD_166		chrUn_CATOHO010000258v1
CATOHO010000259.1	SCAFFOLD_92		chrUn_CATOHO010000259v1
CATOHO010000260.1	SCAFFOLD_84		chrUn_CATOHO010000260v1
CATOHO010000261.1	SCAFFOLD_50		chrUn_CATOHO010000261v1
CATOHO010000262.1	SCAFFOLD_199		chrUn_CATOHO010000262v1
CATOHO010000263.1	SCAFFOLD_111		chrUn_CATOHO010000263v1
CATOHO010000264.1	SCAFFOLD_57		chrUn_CATOHO010000264v1
CATOHO010000265.1	SCAFFOLD_129		chrUn_CATOHO010000265v1
CATOHO010000266.1	SCAFFOLD_310		chrUn_CATOHO010000266v1
CATOHO010000267.1	SCAFFOLD_289		chrUn_CATOHO010000267v1
CATOHO010000268.1	SCAFFOLD_256		chrUn_CATOHO010000268v1
CATOHO010000269.1	SCAFFOLD_99		chrUn_CATOHO010000269v1
CATOHO010000270.1	SCAFFOLD_75		chrUn_CATOHO010000270v1
CATOHO010000271.1	SCAFFOLD_49		chrUn_CATOHO010000271v1
CATOHO010000272.1	SCAFFOLD_190		chrUn_CATOHO010000272v1
CATOHO010000273.1	SCAFFOLD_321		chrUn_CATOHO010000273v1
OX637595.1	SUPER_1	1	chr1
OX637596.1	SUPER_2	2	chr2
OX637597.1	SUPER_3	3	chr3
OX637598.1	SUPER_4	4	chr4
OX637599.1	SUPER_5	5	chr5
OX637600.1	SUPER_6	6	chr6
OX637601.1	SUPER_7	7	chr7
OX637602.1	SUPER_8	8	chr8
OX637603.1	SUPER_9	9	chr9
OX637604.1	SUPER_10	10	chr10
OX637605.1	SUPER_11	11	chr11
OX637606.1	SUPER_12	12	chr12
OX637607.1	SUPER_13	13	chr13
OX637608.1	SUPER_14	14	chr14
OX637609.1	SUPER_15	15	chr15
OX637610.1	SUPER_16	16	chr16
OX637611.1	SUPER_17	17	chr17
OX637612.1	SUPER_18	18	chr18
OX637613.1	SUPER_19	19	chr19
OX637614.1	SUPER_20	20	chr20
OX637615.1	SUPER_21	21	chr21
OX637616.1	SUPER_22	22	chr22
OX637617.1	SUPER_23	23	chr23
OX637618.1	SUPER_24	24	chr24
OX637619.1	scaffold_MT_1	MT	chrM
